exp_id,timestamp,operator_id,gender,age,job,job_other,experience,product,task_clarity,sequence_intuitive,perceived_difficulty,perceived_time,perceived_difficulty_what,perceived_effort,comfortable,fatigue,fatigue_when,assured,danger,danger_when,efficency,instruments,fluidity,instruments_what,rating,pros,cons,comments_overall,time,setup,robot_facilitated,robot_natural_interaction,robot_obstacle,robot_obstacle_when,robot_safe,robot_velocity,robot_collision,robot_collision_when,safety_effective,hci_simple,robot_trajectory,system_feedback,comments_system,reduced_robot_downtime,robot_timely,interaction_fluidity
lego_26,2/12/2026 17:47:08,26,F,C,Researcher,,None,lego,4,4.0,1.0,2_Adequate,Capire la corrispondenza istruzioni- pezzi fisici,1.0,2.0,No,,5.0,No,,3.0,5.0,4.0,,4,Pezzi già ordinati,Immagini delle istruzioni più precise,,166.59,manual,,,,,,,,,,,,,,,,
lego_27,2/12/2026 18:21:43,27,F,B,Researcher,,1_Basic,lego,4,4.0,2.0,0_I don't know,,2.0,1.0,No,all'inizio,2.0,No,,3.0,4.0,2.0,,4,,,,138.36,manual,,,,,,,,,,,,,,,,
lego_28,2/13/2026 11:43:01,28,M,C,Researcher,,2_Intermediate,lego,5,5.0,1.0,2_Adequate,,1.0,5.0,No,,5.0,No,,5.0,5.0,5.0,,5,,,,131.76,manual,,,,,,,,,,,,,,,,
car_29,2/13/2026 12:08:34,29,M,B,Researcher,,1_Basic,car,4,3.0,2.0,3_Too long,gli alettoni laterali sono complessi da posizionare correttamente,1.0,2.0,No,nel ruotare la macchina per assemblare gli alettoni laterali,3.0,No,,2.0,5.0,3.0,forse un sostegno per tenere in posizione delle parti,4,molto intuitivo dove i pezzi dovessero essere posizionati infine,le istruzioni sono poco chiare su come gli alettoni laterali vengono ancorati alla struttura princiaple,,292.68,manual,,,,,,,,,,,,,,,,
car_30,2/13/2026 15:42:15,30,M,B,Student,,1_Basic,car,3,4.0,2.0,2_Adequate,l'assemblaggio delle minigonne era meno intuitivo rispetto il resto ed è il punto in cui ho commesso un errore e ho dovuto smontare un attimo il modellino il resto era intuitivo,1.0,4.0,No,"le minigonne, non avendo prestato l'attenzione dovuta ho commesso un errore nel montaggio che ha forzato lo smontaggio del robot",2.0,No,con eccezione di mettersi in imbarazzo fallendo nel montare il modellino no nessuna,3.0,5.0,3.0,l' istruzione delle minigonne se messa alla fine renderebbe meno confusa l'assemblaggio,4,è relativamente semplice amche commettendo un errore smontare per resettare il tutto non è difficile,usare istruzioni più simili al ikea con più passsaggi ma più semplice forse renderebbe più facile il montaggio,,271.48,manual,,,,,,,,,,,,,,,,
car_31,2/13/2026 16:14:32,31,M,B,Engineer,,2_Intermediate,car,5,4.0,4.0,2_Adequate,tenere assieme entrambe le viti laterali ancora non fissate,1.0,4.0,No,,5.0,No,,3.0,5.0,3.0,avrei potuto seguire un'altra sequenza di montaggio per migliorare l'efficienza,5,viti scorrevoli,,,163.8,manual,,,,,,,,,,,,,,,,
car_46,2/23/2026 13:51:51,46,F,C,Researcher,,1_Basic,car,5,4.0,3.0,2_Adequate,para urti laterale,1.0,3.0,No,forse avrei preferito una sedia,5.0,No,nessuno,4.0,4.0,4.0,breve video 3d dell'assemblaggio,5,il test è stato chiaro e piuttosto divertente perchè non avevo mai montato una macchina con i lego,postura e breve video 3d dell'assemblaggio,nessuno ,372.4,manual,,,,,,,,,,,,,,,,
car_48,2/23/2026 14:31:02,48,F,A,Student,,1_Basic,car,3,3.0,2.0,2_Adequate,paraurti laterali,1.0,1.0,Yes,mettere le ali laterali,5.0,No,,3.0,5.0,4.0,istruzioni migliori,4,,,,333.22,manual,,,,,,,,,,,,,,,,
car_50,2/23/2026 14:47:48,50,M,A,Student,,2_Intermediate,car,4,4.0,3.0,2_Adequate,Aste laterali,1.0,3.0,No,montaggio aste laterali,4.0,No,,4.0,3.0,4.0,vista laterale,3,simmetria rispetto ordine montaggio,,,168.08,manual,,,,,,,,,,,,,,,,
car_53,2/24/2026 12:16:21,53,M,A,Student,,None,car,4,3.0,2.0,2_Adequate,,1.0,5.0,No,,5.0,No,,3.0,5.0,3.0,Avere un foglio in cui si esplicita l'ordine con cui fare i vari passaggi,5,Le istruzioni venivano date attraverso le immagini ed erano visualizzate in maniera compatta,Spiegare in che ordine eseguire i passaggi,,543.31,manual,,,,,,,,,,,,,,,,
car_60,2/24/2026 17:06:15,60,F,B,Researcher,,1_Basic,car,4,3.0,1.0,2_Adequate,Pensavo che la parte argento andasse dentro,1.0,3.0,No,Il tavolo era leggermente basso (ma io sono alta 1.82m),5.0,No,Nessuno,4.0,5.0,4.0,Numerare quali parti andrebbero montate prima (anche se non c'è una vera e propria sequenza),4,La distribuzione dei pezzi sul tavolo,"Forse il foglio dei componenti, li numererei","Perchè non un tavolo regolabile? Sarebbe utile, così da regolarlo in base all'altezza dell'operatore",260.82,manual,,,,,,,,,,,,,,,,
car_64,2/24/2026 17:52:46,64,M,D,Other,,None,car,5,5.0,5.0,2_Adequate,,,5.0,No,,5.0,No,,5.0,5.0,5.0,,5,,,,228.93,manual,,,,,,,,,,,,,,,,
car_66,2/25/2026 11:36:31,66,F,E,Other,Coordinatrice organizzativa festival di cinema,None,car,4,4.0,4.0,3_Too long,all'inizio  mi sembraa non si bloccassero il paraurti fronatle e l'alettone posteriore,1.0,5.0,No,tutto ok,5.0,No,potrebbero cadere dal tavolino le viti se non si sta attenti,5.0,5.0,4.0,"se ci fossero le varie fasi step by step con i numeri. 1 metti il motore, 2: metti l tettuccio....ecc",5,tutto divertente e soprattutto vedere la macchinina finita. ,dare istruzioni più in sequenza invece che tutto in unn unico disegno,vorrei assemblarne un'altra,426.12,manual,,,,,,,,,,,,,,,,
lego_69,3/2/2026 14:33:52,69,F,A,Student,,1_Basic,lego,4,5.0,1.0,2_Adequate,,1.0,4.0,No,,5.0,No,,5.0,5.0,5.0,,5,,,,159.16,manual,,,,,,,,,,,,,,,,
lego_71,3/2/2026 16:38:32,71,M,C,Researcher,,None,lego,5,5.0,1.0,1_Too short,,1.0,5.0,No,,5.0,No,,5.0,5.0,5.0,,5,,,,83.91,manual,,,,,,,,,,,,,,,,
car_73,3/2/2026 17:31:33,73,M,A,Student,,1_Basic,car,4,4.0,2.0,0_I don't know,The lateral bumper,3.0,3.0,No,,5.0,No,,4.0,5.0,4.0,,4,,,,231.52,manual,,,,,,,,,,,,,,,,
lego_73,3/2/2026 17:53:53,73,M,A,Student,,1_Basic,lego,4,5.0,1.0,2_Adequate,,1.0,4.0,No,,5.0,No,,5.0,5.0,5.0,,5,,,,132.91,manual,,,,,,,,,,,,,,,,
car_75,3/3/2026 11:20:44,75,M,B,Researcher,,1_Basic,car,5,4.0,2.0,3_Too long,Assemblaggio dei lateral bumpers,1.0,5.0,No,/,5.0,No,/,4.0,5.0,4.0,Ripetere il procedimento più volte,5,"Istruzioni chiarissime, anche visivamente (non erano in bianco e nero, facilitando il riconoscimento dei singoli componenti). Componenti disposti ordinatamente sul tavolo prima dell'inizio dell'esperienza",/,/,221.91,manual,,,,,,,,,,,,,,,,
car_76,3/3/2026 11:50:41,76,M,A,Student,,3_Advanced,car,5,5.0,2.0,2_Adequate,Capire come fissare le minigonne perché cercavo il buco per la vite sul fianco della macchina,1.0,5.0,No,,5.0,No,,5.0,5.0,5.0,,5,Le istruzioni erano chiare e intuitive e i pezzi ben separati e facilmente identificabili,,,177.95,manual,,,,,,,,,,,,,,,,
car_77,3/4/2026 11:22:10,77,M,A,Student,,None,car,5,4.0,1.0,2_Adequate,Il motore interno,1.0,4.0,No,,5.0,No,,4.0,5.0,4.0,Elenco delle parti da cui partire nell'assemblaggio,5,La conclusione con i dettagli finali una volta che la macchina era pronta,Nessuno,,248.3,manual,,,,,,,,,,,,,,,,
car_78,3/4/2026 12:20:40,78,M,A,Student,,3_Advanced,car,5,5.0,1.0,2_Adequate,capire che la parte davanti della carrozzeria fosse da avvitare sia con la parte sotto che con la scocca dell auto,1.0,4.0,No,,5.0,No,,4.0,5.0,5.0,nessuno,5,vedere il prodotto finale,per me nessuno,,196.26,manual,,,,,,,,,,,,,,,,
car_79,3/4/2026 15:46:50,79,F,B,Other,assegnista,None,car,3,2.0,2.0,3_Too long,motore,2.0,2.0,No,,5.0,No,,4.0,5.0,2.0,guardare maggiormente la figura,4,a livello visivo le varie componenti con colori diversi,nessuno,foglio con elenco delle componenti non letto,416.88,manual,,,,,,,,,,,,,,,,
car_80,3/4/2026 16:11:47,80,F,C,Researcher,,3_Advanced,car,3,1.0,3.0,2_Adequate,Montare gli alettoni laterali sotto alla macchina. E il cofano non si capiva se era giusto che continuasse ad aprirsi.,1.0,5.0,No,,5.0,No,,3.0,5.0,4.0,,3,Le viti si avvitavano bene e l'oggetto era leggero,Le istruzioni erano complicate da capire. Sarebbe stato meglio un libretto con i passaggi passo a passo per l'assemblaggio,,206.14,manual,,,,,,,,,,,,,,,,
car_81,3/10/2026 15:32:52,81,M,A,Student,,None,car,4,3.0,1.0,3_Too long,l'inserimento dei pezzi laterali,1.0,4.0,No,,4.0,No,,4.0,5.0,4.0,,4,,Le istruzioni visuali non erano chiarissime,,437.4,manual,,,,,,,,,,,,,,,,
car_82,3/10/2026 15:41:47,82,M,A,Student,,1_Basic,car,4,4.0,1.0,2_Adequate,capire quale fosse il miglior punto di partenza,1.0,3.0,No,nessun momento ma sul lungo periodo il montaggio in piedi può risultare affaticante per il collo,5.0,No,nessuno,5.0,5.0,4.0,,5,la semplicità di applicazione,,,236.1,manual,,,,,,,,,,,,,,,,
car_83,3/10/2026 16:22:01,83,M,C,Researcher,,1_Basic,car,5,4.0,1.0,3_Too long,Assemblare le alette laterali,1.0,5.0,No,,5.0,No,,5.0,5.0,4.0,,5,,,,192.08,manual,,,,,,,,,,,,,,,,
car_84,3/10/2026 16:27:54,84,F,C,Researcher,,None,car,5,5.0,1.0,2_Adequate,,1.0,5.0,No,,5.0,No,,4.0,5.0,4.0,,5,,,,216.58,manual,,,,,,,,,,,,,,,,
car_86,3/10/2026 17:45:15,86,M,E,Researcher,,None,car,4,4.0,1.0,2_Adequate,,1.0,5.0,,,5.0,No,,4.0,5.0,5.0,,5,,,,291.0,manual,,,,,,,,,,,,,,,,
car_32,2/18/2026 15:42:16,32,M,B,Student,,None,car,5,,,2_Adequate,,,,,,,,,,,,,5,riconoscere e predisporre automaticamente il pezzo richiesto nell'area di lavoro,tempi di reazioni nel riconoscimento del passaggio di assemblaggio eseguito,,280.22321972892763,robot,3.0,5.0,No,,5.0,2_Adequate,Never,,5.0,5.0,5.0,Yes,,"Yes, slightly",5.0,5.0
car_33,2/18/2026 17:59:44,33,M,C,Researcher,,None,car,5,,,2_Adequate,,,,,,,,,,,,,5,,,,289.3999453237152,robot,5.0,5.0,No,,5.0,2_Adequate,Never,,5.0,5.0,5.0,Yes,"After pressing enter, indicator can be improved.","Yes, slightly",5.0,5.0
car_34,2/19/2026 13:48:37,34,M,B,Student,,None,car,5,,,2_Adequate,,,,,,,,,,,,,5,right order of parts,,,282.15379665878294,robot,3.0,4.0,No,,5.0,2_Adequate,Never,,5.0,5.0,5.0,Yes,,"Yes, significantly",5.0,5.0
car_35,2/19/2026 14:00:42,35,M,B,Student,,None,car,5,,,2_Adequate,,,,,,,,,,,,,4,La certezza di non prendere pezzi sbagliati e il non doverli cercare ,La sicurezza nel passaggio veloce di pezzi analoghi,,314.62916357040405,robot,4.0,4.0,No,,3.0,1_Too short,Sometimes,Nell'inserimento delle ruote,2.0,5.0,4.0,Yes,,"Yes, slightly",3.0,3.0
car_36,2/19/2026 14:17:40,36,M,B,Researcher,,None,car,5,,,2_Adequate,,,,,,,,,,,,,5,Facilitazione della scelta del pezzo da assemblare,Mostrare a video l'immagine del pezzo che verrà assemblato allo step successivo e riconoscimento vocale.,,336.8085376712036,robot,5.0,4.0,No,,5.0,2_Adequate,Sometimes,Durante l'assemblaggio delle ruote,5.0,5.0,4.0,Yes,,"Yes, slightly",5.0,4.0
car_37,2/19/2026 18:05:50,37,M,B,Other,corriere,None,car,5,,,2_Adequate,,,,,,,,,,,,,3,che mi passava i componenti,velocità dei singoli componenti,,315.4602458901215,robot,5.0,4.0,No,,5.0,3_Too long,Sometimes,poco spazio,2.0,5.0,5.0,Yes,,"Yes, slightly",3.0,3.0
car_38,2/19/2026 18:38:24,38,M,B,Student,,1_Basic,car,5,,,2_Adequate,,,,,,,,,,,,,5,Non dover pensare al prossimo passo,"La velocità di riconoscimento delle immagini, l'interfaccia utente (conferme, stato esecuzione)",,292.1862027913665,robot,5.0,4.0,Yes,"Durante la fase di passaggio delle ruote, alle volte capita di trovarsi molto vicini al robot, che ""ingombra""",4.0,2_Adequate,Sometimes,Durante la fase di passaggio delle ruote,4.0,5.0,5.0,Yes,,"Yes, slightly",5.0,5.0
car_39,2/20/2026 10:44:02,39,M,B,Researcher,,3_Advanced,car,5,,,2_Adequate,,,,,,,,,,,,,5,Mi ha aiutato a capire quale era il prossimo pezzo da assemblare e mi ha fatto seguire una linea di assemblaggio precisa,Cercherei di ridurre i tempi di attesa il più possibile,Aggiungerei un segnale acustico o un feedback ogni volta che si preme invio e cercherei di far funzionare il modello di predizione in real time,294.7453103779602,robot,5.0,5.0,No,,5.0,2_Adequate,Never,,5.0,5.0,5.0,Yes,,"Yes, slightly",5.0,5.0
car_40,2/20/2026 11:01:58,40,M,A,Student,,2_Intermediate,car,5,,,2_Adequate,,,,,,,,,,,,,5,,,,274.1495590280914,robot,4.0,5.0,No,,5.0,2_Adequate,Never,,4.0,5.0,5.0,Yes,,"Yes, slightly",5.0,4.0
car_41,2/20/2026 11:29:06,41,M,B,Student,,1_Basic,car,5,,,2_Adequate,,,,,,,,,,,,,5,capire l'ordine di assemblaggio,postazione di assemblaggio leggermente più grande per evitare totalmente le possibili collisioni,,319.32008482818605,robot,5.0,4.0,No,,4.0,2_Adequate,Sometimes,assemblaggio ruote,4.0,5.0,4.0,Yes,,"Yes, slightly",4.0,4.0
car_42,2/20/2026 11:50:23,42,M,C,Researcher,,None,car,4,,,2_Adequate,,,,,,,,,,,,,5,Giusta pipeline di assemblaggio,,,272.7746591055298,robot,5.0,5.0,No,,5.0,2_Adequate,Never,,5.0,4.0,4.0,Yes,,I don't know,5.0,5.0
car_43,2/20/2026 14:36:04,43,M,B,Researcher,,1_Basic,car,5,,,2_Adequate,,,,,,,,,,,,,5,"Nel caso di pezzi ripetuti (eg, ruote), il braccio depositava già i pezzi successivi sul banco di scambia, minimizzando i tempi morti.","Aumentare lo spazio, specie nel caso del banco di scambio dove il robot deposita i pezzi che l'umano deve raccogliere, diminuendo ulteriormente eventuali rischi di collisioni",,254.6211013789368,robot,5.0,5.0,No,,4.0,2_Adequate,Never,,5.0,5.0,5.0,Yes,,"Yes, significantly",5.0,5.0
car_45,2/20/2026 14:46:19,45,M,B,Student,,2_Intermediate,car,5,,,2_Adequate,,,,,,,,,,,,,5,Potermi concentrare sull'assemblaggio,Ridurre l'ingombro del sistema totale,,283.968003942566,robot,5.0,5.0,No,,4.0,2_Adequate,Sometimes,Durante alcuni passaggi ho avuto paura che il robot potesse colpirmi,4.0,5.0,5.0,Yes,,"Yes, significantly",5.0,5.0
car_47,2/23/2026 14:10:58,47,F,C,Researcher,,None,car,5,,,2_Adequate,,,,,,,,,,,,,5,ti assiste nell'assemblaggio disponendo i pezzi sulla paittaforma di pick,il tasto invio era un pò lontano e a volte dimenticavo di premerlo perchè pensavo fosse automatico,personalmente un segnale audio alla fine di ogni pezzo assemblato mi avrebbe facilitata nel premere invio. Le istruzioni audio e video potrebbero essere disposte di fornte l'assemblatore ,279.01079753379827,robot,5.0,5.0,No,,5.0,2_Adequate,Never,,5.0,5.0,5.0,Yes,,"Yes, significantly",5.0,5.0
car_51,2/23/2026 15:02:28,51,M,A,Student,,2_Intermediate,car,5,,,2_Adequate,,,,,,,,,,,,,5,"facilità di raggiungere componenti, ordinamento elementi",latenza riconoscimento immagini / spostamento componente successivo robot,,289.9133274569702,robot,5.0,5.0,No,,5.0,2_Adequate,Never,,5.0,4.0,5.0,Yes,potrebbe aver senso mantenere evidenziata la conferma dell'azione precedente fino allo spostamento della parte successiva da parte del robot,"Yes, slightly",5.0,4.0
car_52,2/23/2026 15:39:46,52,M,B,Student,,1_Basic,car,5,,,2_Adequate,,,,,,,,,,,,,4,,,,326.82589688301084,robot,3.0,5.0,No,,5.0,2_Adequate,Never,,5.0,2.0,4.0,No,A volte non si capiva se avesse preso l'input o meno,"Yes, significantly",5.0,4.0
car_44,2/23/2026 16:11:33,44,M,B,Student,,None,car,5,,,3_Too long,,,,,,,,,,,,,3,Evitare di prendere i pezzi,Tempi tra uno step e l'altro,,305.90533713005067,robot,4.0,5.0,Yes,Durante la fase di assemblaggio delle ruote,5.0,2_Adequate,Never,,4.0,5.0,5.0,Yes,,I don't know,5.0,4.0
car_54,2/24/2026 12:32:59,54,M,A,Student,,None,car,5,,,2_Adequate,,,,,,,,,,,,,5,Mi ha fatto capire in maniera precisa in che ordine fare i passaggi,"Il passaggio in cui inserire gli ultimi componenti è stato saltato, come se il robot avesse ritenuto che il lavoro fosse già finito",,309.24540367660524,robot,5.0,5.0,No,,5.0,2_Adequate,Never,,5.0,5.0,5.0,Yes,,I don't know,5.0,5.0
car_61,2/24/2026 17:19:37,61,F,B,Researcher,,2_Intermediate,car,5,,,3_Too long,,,,,,,,,,,,,4,"La sequenza di montaggio, che per esempio io avevo eseguito diversamente nell'assemblaggio manuale",La velocità della GUI,,274.5819086645508,robot,4.0,4.0,No,,4.0,2_Adequate,Sometimes,A volte mi sembrava che mi venisse un pochino vicino al braccio,4.0,5.0,5.0,Yes,Forse le istruzioni scorrevano un po' lentamente (una volta premuto invio),"Yes, slightly",4.0,4.0
car_63,2/24/2026 17:45:19,63,M,B,Researcher,,2_Intermediate,car,4,,,3_Too long,,,,,,,,,,,,,4,Passarmi i componenti in serie,L'HMI può essere migliorata con un LED di stato del robot,Nulla da aggiungere,254.3227444669342,robot,2.0,3.0,No,,2.0,2_Adequate,Sometimes,"Nel passaggio delle ruote, la mia concentrazione era sulla macchina e non sul robot che invece si muoveva sullo sfondo",4.0,4.0,4.0,No,Sarebbe carino avere un idnicatore dello stato del robot sulla HMI per sapere se il sistema ha letto l'input umano o meno,No,2.0,5.0
car_65,2/24/2026 18:05:17,65,M,D,Other,osservatore calcio,None,car,5,,,,,,,,,,,,,,,,5,,,,315.61579163787843,robot,5.0,5.0,No,,5.0,2_Adequate,Never,,5.0,5.0,5.0,Yes,,"Yes, significantly",,5.0
car_67,2/25/2026 11:53:49,67,F,E,Other,Coordinatrice organizzativa festival cinema ,None,car,5,,,2_Adequate,,,,,,,,,,,,,5,non ho dovuto capire qual era la sequenza più corretta per l'assemblaggio,forse il robot potrebbe essere leggermente più veloce,"esperienza molto divertente, grazie!",281.487819535141,robot,5.0,5.0,No,,5.0,2_Adequate,Never,,5.0,5.0,5.0,Yes,molto divertente,"Yes, slightly",5.0,5.0
lego_43,2/27/2026 15:56:37,43,M,B,Researcher,,1_Basic,lego,4,,,2_Adequate,,,,,,,,,,,,,5,,,,341.6108583241272,robot,5.0,5.0,No,,5.0,2_Adequate,Never,,5.0,,5.0,Yes,,"Yes, slightly",5.0,5.0
lego_40,2/27/2026 16:31:45,40,M,A,Student,,2_Intermediate,lego,4,,,2_Adequate,,,,,,,,,,,,,4,,,,358.4743162998199,robot,4.0,5.0,No,,5.0,2_Adequate,Never,,4.0,5.0,5.0,Yes,,"Yes, slightly",5.0,4.0
lego_38,2/27/2026 16:39:51,38,M,B,Student,,1_Basic,lego,5,,,2_Adequate,,,,,,,,,,,,,5,Non dover pensare al prossimo passo da fare,,,344.5094716658783,robot,5.0,5.0,No,,5.0,2_Adequate,Never,,5.0,5.0,5.0,Yes,,"Yes, slightly",5.0,5.0
lego_68,2/27/2026 19:24:54,68,M,C,Researcher,,2_Intermediate,lego,5,,,3_Too long,,,,,,,,,,,,,5,,,,304.19948146362304,robot,3.0,5.0,No,,5.0,2_Adequate,Never,,5.0,5.0,5.0,Yes,,"Yes, slightly",5.0,5.0
lego_70,3/2/2026 14:45:20,70,F,A,Student,,1_Basic,lego,5,,,3_Too long,,,,,,,,,,,,,5,,,,376.0679366929626,robot,5.0,4.0,No,,5.0,3_Too long,Never,,5.0,5.0,5.0,Yes,,"Yes, slightly",5.0,4.0
lego_72,3/2/2026 16:50:22,72,M,C,Researcher,,None,lego,5,,,3_Too long,,,,,,,,,,,,,3,,,,342.5499525462341,robot,4.0,5.0,No,,5.0,2_Adequate,Never,,5.0,5.0,5.0,Yes,,No,4.0,3.0
car_72,3/2/2026 16:59:18,72,M,C,Researcher,,None,car,5,,,2_Adequate,,,,,,,,,,,,,5,,,,280.504818770752,robot,5.0,5.0,No,,5.0,2_Adequate,Never,,5.0,5.0,5.0,Yes,,"Yes, slightly",4.0,4.0
car_74,3/2/2026 17:45:55,74,M,A,Student,,1_Basic,car,5,,,2_Adequate,,,,,,,,,,,,,5,,,,304.07236745666506,robot,4.0,5.0,No,,5.0,2_Adequate,Never,,4.0,5.0,5.0,Yes,,No,4.0,5.0
lego_74,3/2/2026 18:04:36,74,M,A,Student,,1_Basic,lego,5,,,2_Adequate,,,,,,,,,,,,,5,,,,351.10039889526365,robot,5.0,5.0,No,,5.0,2_Adequate,Never,,5.0,5.0,5.0,Yes,,No,5.0,4.0
lego_76,3/3/2026 12:04:16,76,M,A,Student,,3_Advanced,lego,5,,,3_Too long,,,,,,,,,,,,,4,"Il non dover cercare i pezzi, ma trovare sempre il pezzo giusto portato dal robot",La velocità di riconoscimento dello stato attuale dell'assemblaggio in modo da ridurre i tempi di attesa del pezzo successivo,,330.2484698487091,robot,4.0,4.0,No,,5.0,2_Adequate,Never,,4.0,5.0,5.0,Yes,,"Yes, slightly",5.0,4.0
lego_79,3/4/2026 16:02:23,79,F,B,Other,assegnista,None,lego,4,,,2_Adequate,,,,,,,,,,,,,4,il non dover selezionare la componente da assemblare,velocità del robot,,350.84272620368955,robot,5.0,5.0,No,,5.0,3_Too long,Never,,5.0,5.0,5.0,Yes,,No,5.0,5.0
